dna_well,norm_well,dna_con,dna_ul,water_ul
A1,A1,420.0,0.0,0.0
B1,B1,16.18,3.09,6.91
C1,C1,90.69,2.0,34.28
D1,D1,14.71,3.4,6.6
E1,E1,50.63,2.0,18.25
F1,F1,49.84,2.0,17.94
G1,G1,47.42,2.0,16.97
H1,H1,13.76,3.63,6.37
A2,A2,46.11,2.0,16.44
B2,B2,47.47,2.0,16.99
C2,C2,64.95,2.0,23.98
D2,D2,16.45,3.04,6.96
E2,E2,32.71,2.0,11.08
F2,F2,52.52,2.0,19.01
G2,G2,34.71,2.0,11.88
H2,H2,63.09,2.0,23.24
A3,A3,168.15,2.0,65.26
B3,B3,20.78,2.41,7.59
C3,C3,53.97,2.0,19.59
D3,D3,53.92,2.0,19.57
E3,E3,77.95,2.0,29.18
F3,F3,52.51,2.0,19.0
G3,G3,69.35,2.0,25.74
H3,H3,37.65,2.0,13.06
A4,A4,78.65,2.0,29.46
B4,B4,33.55,2.0,11.42
C4,C4,53.61,2.0,19.44
D4,D4,44.92,2.0,15.97
E4,E4,76.24,2.0,28.5
F4,F4,41.22,2.0,14.49
G4,G4,55.45,2.0,20.18
H4,H4,48.31,2.0,17.32
A5,A5,34.78,2.0,11.91
B5,B5,23.22,2.15,7.85
C5,C5,27.97,2.0,9.19
D5,D5,40.31,2.0,14.12
E5,E5,43.23,2.0,15.29
F5,F5,46.08,2.0,16.43
G5,G5,84.26,2.0,31.7
H5,H5,102.25,2.0,38.9
A6,A6,85.98,2.0,32.39
B6,B6,52.23,2.0,18.89
C6,C6,19.74,2.53,7.47
D6,D6,65.96,2.0,24.38
E6,E6,70.28,2.0,26.11
F6,F6,53.82,2.0,19.53
G6,G6,64.3,2.0,23.72
H6,H6,95.65,2.0,36.26
A7,A7,84.89,2.0,31.96
B7,B7,135.86,2.0,52.34
C7,C7,113.77,2.0,43.51
D7,D7,105.74,2.0,40.3
E7,E7,47.11,2.0,16.84
F7,F7,68.28,2.0,25.31
G7,G7,109.38,2.0,41.75
H7,H7,45.9,2.0,16.36
A8,A8,50.82,2.0,18.33
B8,B8,9.99,5.01,4.99
C8,C8,21.0,2.38,7.62
D8,D8,41.01,2.0,14.4
E8,E8,20.02,2.5,7.5
F8,F8,35.44,2.0,12.18
G8,G8,57.65,2.0,21.06
H8,H8,27.38,2.0,8.95
A9,A9,53.51,2.0,19.4
B9,B9,25.25,2.0,8.1
C9,C9,37.73,2.0,13.09
D9,D9,84.48,2.0,31.79
E9,E9,44.42,2.0,15.77
F9,F9,55.71,2.0,20.28
G9,G9,62.02,2.0,22.81
H9,H9,142.45,2.0,54.98
A10,A10,30.31,2.0,10.12
B10,B10,26.0,2.0,8.4
C10,C10,91.67,2.0,34.67
D10,D10,46.25,2.0,16.5
E10,E10,16.07,3.11,6.89
F10,F10,16.74,2.99,7.01
G10,G10,26.23,2.0,8.49
H10,H10,35.91,2.0,12.36
A11,A11,42.68,2.0,15.07
B11,B11,9.56,5.23,4.77
C11,C11,31.0,2.0,10.4
D11,D11,49.25,2.0,17.7
E11,E11,30.39,2.0,10.16
F11,F11,62.09,2.0,22.84
G11,G11,64.85,2.0,23.94
H11,H11,11.25,4.44,5.56
A12,A12,41.74,2.0,14.7
B12,B12,6.85,7.3,2.7
C12,C12,132.4,2.0,50.96
D12,D12,84.67,2.0,31.87
E12,E12,13.54,3.69,6.31
F12,F12,25.75,2.0,8.3
G12,G12,136.46,2.0,52.58
H12,H12,61.77,2.0,22.71
